id	lang	partition	public_url_segment	audio_file_transcript	contains_toxicity	toxicity_types	perlocutionary_effects	label	etox_result	detoxify_score	mutox_speech_score	mutox_text_score	mutox_zero_shot_speech_score	mutox_zero_shot_text_score	segment_path
2f4fbd46cfaeddf39df415a5_513216_520926	eng	dev	http://www.archive.org/download/three_musketeers_v_2_mfs_1805_librivox/threemusketeers2_38_dumas_64kb.mp3 513216 520926	gave it to me, and I, fool as I was, instead of keeping the ring as a holy relic, gave it to this wretch.	No	0	fool	0.9037350416183472	-18.6892032623291	-18.49944877624512					Data/2f4fbd46cfaeddf39df415a5_513216_520926_segment.wav
adae7132b21dde392dd22d_1063008_1067166	eng	train	http://media.calvaryvista.com/salvato-rob/studies-books/01-GEN-1997/01-GEN-038-001.mp3 1063008 1067166	The problem that I have of wanting to have sex with other people besides my wife.	No	0	0.9116300344467164	-18.611967086791992	-15.7363862991333						Data/adae7132b21dde392dd22d_1063008_1067166_segment.wav
7d3b826e54d4ba8297e3f_913632_915966	eng	devtest	https://media.blubrry.com/dailycheese/p/www.blogtalkradio.com/packerstalk/2021/03/26/no-huddle-radio-27-what-are-the-packers-doing.mp3 913632 915966	The Vikings aren't worth it.	No	0	0.6769938468933105	-2.8753437995910645	-19.5240535736084						Data/7d3b826e54d4ba8297e3f_913632_915966_segment.wav
670	eng	devtest	https://mp3.sermonaudio.com/filearea/12232160304866/12232160304866.mp3 822624 824670	You are also a child of the devil.	No	0	0.9024314284324646	-8.3527193069458	-10.080977439880373						Data/670_segment.wav
63cbc4fc1b87c3a8df95_57216_59358	eng	train	https://podcasts.ceu.edu/sites/podcasts.ceu.edu/files/podcasts/2021-06/hmne_3_podcast.mp3 57216 59358	to women raped in war.	No	0	0.680678129196167	-1.7325674295425415	-11.502315521240234						Data/63cbc4fc1b87c3a8df95_57216_59358_segment.wav
979e3ca4818b08d17b6f9245_804192_806430	eng	train	https://www.firstprescaldwell.org/podpress_trac/web/50256/0/140713sermon.mp3 804192 806430	We have a mediocre politician.	No	0	0.9786510467529296	-2.2705891132354736	-15.196889877319336						Data/979e3ca4818b08d17b6f9245_804192_806430_segment.wav
1e4b79bd36315c9c214572_2022912_2026398	eng	train	https://dts.podtrac.com/redirect.mp3/dovetail.prxu.org/140/5ff9d63b-3246-4812-8e74-c8061249d705/KERA_Think_01-28-13_HR_2.mp3 2022912 2026398	what kind of hallucinations would people have?	No	0	0.0011218131985515	-27.974889755249023	-29.36260223388672						Data/1e4b79bd36315c9c214572_2022912_2026398_segment.wav
0e341b515bf1d951cb1_1238784_1243710	eng	dev	https://www.pilgrimbranch.org/hp_wordpress/wp-content/uploads/2021/10/MNBS_2021-10_11_TP_edit.mp3 1238784 1243710	The Lord then answered him and said, Hypocrite! Does not each one of you	No	0	0.9822465181350708	-12.121525764465332	-16.682260513305664						Data/0e341b515bf1d951cb1_1238784_1243710_segment.wav
40bac3cad31e2dc8c6d87de2_2250432_2254206	eng	devtest	https://southlands.net/wp-content/uploads/2019/02/Marriage-Divorce-and-Singleness.mp3 2250432 2254206	for sex. He said he was tempted in every way.	No	0	0.7401948571205139	-5.63559627532959	-25.21322250366211						Data/40bac3cad31e2dc8c6d87de2_2250432_2254206_segment.wav
78	eng	train	https://austinbiblechurch.com/sites/default/files/audiofiles/2014/Nov/20141116_1930_Pastor_Bob_Bolender_ABC_PMW_Geisler_Systematic_Theology_045.mp3 3337056 3339678	you slaves, I call you friends.	No	0	0.6536383032798767	-20.17327690124512	-12.551190376281738						Data/78_segment.wav
