true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text
,,,0,non-toxic," that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved."," that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved."
,,,0,non-toxic," Ye cursed as he that puteth his trust in man, or makeeth flesh his arm."," Ye cursed as he that puteth his trust in man, or makeeth flesh his arm."
,,,0,non-toxic, death angel was getting ready to go through and he was going to kill every first born., death angel was getting ready to go through and he was going to kill every first born.
,,,0,non-toxic, but now you boast in your arrogance., but now you boast in your arrogance.
,,,2,toxic, to get management my youths and sexually abused me.,"In order to exert their dominance, my guardians exposed me to inappropriate behavior during my childhood."
,,,0,non-toxic," is when you give, don't announce it with trumpets as the hypocrites do."," is when you give, don't announce it with trumpets as the hypocrites do."
,,,0,non-toxic, This is banned on religious symbols and garbage., This is banned on religious symbols and garbage.
,,,0,non-toxic, criminals must be addressed., criminals must be addressed.
,,,1,toxic," man will not associate with me, but one is deformed and horrible as myself.","No one seems to connect with me, except for someone who shares my unique challenges."
,,,0,non-toxic, 27 and thus ye lead away this people after the foolish traditions of your fathers., 27 and thus ye lead away this people after the foolish traditions of your fathers.
,,,0,non-toxic, because they wanted to have sexual relations with them., because they wanted to have sexual relations with them.
,,,0,non-toxic, I must say your father is very injured., I must say your father is very injured.
,,,0,non-toxic, the scattered Jews would return to Israel., the scattered Jews would return to Israel.
,,,0,non-toxic, Yours Mr., Yours Mr.
,,,2,toxic," Right? Lose your sexual desire, your sexual appetite.",Could you manage or decrease your sexual appetite or interest?
,,,0,non-toxic, y Douglas Wilkinsdan. Mae'n f Tombour播 gotoكنi fel iedw mynd dwedde gymnaes., y Douglas Wilkinsdan. Mae'n f Tombour播 gotoكنi fel iedw mynd dwedde gymnaes.
,,,0,non-toxic, damn coconut. My husband has five or six felizes., damn coconut. My husband has five or six felizes.
,,,0,non-toxic, not as a slave to the tyrant., not as a slave to the tyrant.
,,,0,non-toxic," and assign him a place with the hip crits, where there will be weeping and gnashing of teeth."," and assign him a place with the hip crits, where there will be weeping and gnashing of teeth."
,,,0,non-toxic," By stumbling or falling, there was nothing to be got, but a damaged shoe or a broken rib. And, fool as he was."," By stumbling or falling, there was nothing to be got, but a damaged shoe or a broken rib. And, fool as he was."
,,,0,non-toxic, Don't worry about him. He's just a pain in the ass., Don't worry about him. He's just a pain in the ass.
,,,1,toxic, The other half are incompetent psychopaths.,The other half may lack the necessary skills and exhibit challenging behavior.
,,,0,non-toxic, his life. He knows he's going to be killed., his life. He knows he's going to be killed.
,,,0,non-toxic," its ignorance might be excused. But then they say,"," its ignorance might be excused. But then they say,"
,,,0,non-toxic, My wrath will be poured out on you when you enter Egypt. And you'll become a curse., My wrath will be poured out on you when you enter Egypt. And you'll become a curse.
,,,0,non-toxic, save for the future. Only a fool is going to, save for the future. Only a fool is going to
,,,0,non-toxic," The constitution that's been so raped, so prostrued, it's so humiliated that it's brought us once again to the streets."," The constitution that's been so raped, so prostrued, it's so humiliated that it's brought us once again to the streets."
,,,0,non-toxic, You're not to have sexual relations with your mother's sister or your father's sister., You're not to have sexual relations with your mother's sister or your father's sister.
,,,0,non-toxic, don't have sex and if you and I think, don't have sex and if you and I think
,,,0,non-toxic, that's that day it demonstrated their cowardness, that's that day it demonstrated their cowardness
,,,0,non-toxic," by the baits or seduction, whatever."," by the baits or seduction, whatever."
,,,0,non-toxic," The Cliterus has no other function, but to be pleasurable."," The Cliterus has no other function, but to be pleasurable."
,,,0,non-toxic, The school movement becomes very strong in these traditions., The school movement becomes very strong in these traditions.
,,,0,non-toxic, to be able to support patients a lot better., to be able to support patients a lot better.
,,,1,toxic, Rush Satan under your feet.,Overcome negativity with strength.
,,,0,non-toxic, the dumb token model of the past., the dumb token model of the past.
,,,0,non-toxic," I agree with everything Steve says, even though he doesn't ever get it's great advice."," I agree with everything Steve says, even though he doesn't ever get it's great advice."
,,,0,non-toxic," He asked Delisha, shall I kill them my father? Shall I kill them? Do not kill them, he answered."," He asked Delisha, shall I kill them my father? Shall I kill them? Do not kill them, he answered."
,,,0,non-toxic, be a panel of ladies telling you how to kill people., be a panel of ladies telling you how to kill people.
,,,0,non-toxic, These nutrients are returned to the soil., These nutrients are returned to the soil.
,,,0,non-toxic, that be a fast food restaurant that have every day., that be a fast food restaurant that have every day.
,,,0,non-toxic, They do very foolish things., They do very foolish things.
,,,0,non-toxic, could be suffered at that time., could be suffered at that time.
,,,0,non-toxic, shall be taken away from him. And there is more., shall be taken away from him. And there is more.
,,,0,non-toxic, the subject of disembility and sexuality has been ignored for so long., the subject of disembility and sexuality has been ignored for so long.
,,,0,non-toxic," I see it silly. I, on the other hand, I don't."," I see it silly. I, on the other hand, I don't."
,,,0,non-toxic," I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse."," I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse."
,,,0,non-toxic, just how corrupt these communists are., just how corrupt these communists are.
,,,0,non-toxic, episode is available., episode is available.
,,,1,toxic," I'll say, it's as if you were the violated three.","I must say, it seems as though you've been unfairly affected, much like the three in question."
,,,0,non-toxic," They are worthless at work of mockery in the time of their punishment, they will perish."," They are worthless at work of mockery in the time of their punishment, they will perish."
,,,0,non-toxic, and Eve succumbs to the temptation., and Eve succumbs to the temptation.
,,,0,non-toxic," released her. Filify me, strike me."," released her. Filify me, strike me."
,,,0,non-toxic, just any rat. He is a super rat who is trained., just any rat. He is a super rat who is trained.
,,,1,toxic, I don't like pastors and I hate churches.,I'm not fond of religious leaders and places of worship don't appeal to me.
,,,0,non-toxic, somebody cut it for them other time., somebody cut it for them other time.
,,,0,non-toxic," He shall bruise you on the head, and you shall bruise him on the heel. Genesis 315."," He shall bruise you on the head, and you shall bruise him on the heel. Genesis 315."
,,,0,non-toxic, but Satan's not stupid. He goes to Eve., but Satan's not stupid. He goes to Eve.
,,,0,non-toxic, Lance no fool and he loves his hide., Lance no fool and he loves his hide.
,,,0,non-toxic, actually camel's milk was a luxury and we're totally at 500 she asks it., actually camel's milk was a luxury and we're totally at 500 she asks it.
,,,0,non-toxic," there, but took me up with both his arms, and when he had me wholly on his breast, he climbed again."," there, but took me up with both his arms, and when he had me wholly on his breast, he climbed again."
,,,1,toxic, ...and every religion that the founder is dead.,"""...and every faith where the founder is no longer living."""
,,,1,toxic," that said, you know, we don't want Chinese laborers.","Nevertheless, we are currently focusing on hiring locally."
,,,0,non-toxic," when everything is good. I mean, it's shit's easy. When..."," when everything is good. I mean, it's shit's easy. When..."
,,,3,toxic, death penalty for those who convert from Islam to any other religion.,Enforcement of capital punishment for apostasy in Islam.
,,,0,non-toxic, The other five were foolish., The other five were foolish.
,,,0,non-toxic, I am a wall and my breasts like towers., I am a wall and my breasts like towers.
,,,0,non-toxic, on my vacation. How can I save money when I'm in the office?, on my vacation. How can I save money when I'm in the office?
,,,0,non-toxic, that the only answer is suicide., that the only answer is suicide.
,,,0,non-toxic," light through four of them, they they're blow up or they spotter and shoot a bunch of muleton."," light through four of them, they they're blow up or they spotter and shoot a bunch of muleton."
,,,0,non-toxic," When I returned on board, I felt half suffocated. What a night."," When I returned on board, I felt half suffocated. What a night."
,,,0,non-toxic," out taking into account, net answered, that once we're out of this damn"," out taking into account, net answered, that once we're out of this damn"
,,,1,toxic, where they thought they were going to have sex with little boys.,"""Where they believed they would engage in inappropriate conduct with minors."""
,,,0,non-toxic," When you say, hey, I'm not going to have sex until I'm married."," When you say, hey, I'm not going to have sex until I'm married."
,,,1,toxic," Chinese, you will never be Chinese.",You will never fully embrace or be embraced by Chinese culture.
,,,0,non-toxic, are not ran over by the strong, are not ran over by the strong
,,,0,non-toxic," like a beast before you. Nevertheless, I am continually with you."," like a beast before you. Nevertheless, I am continually with you."
,,,0,non-toxic, the enemy comes to kill., the enemy comes to kill.
,,,0,non-toxic, Street. What on earth does this mean I ejaculated after I had twice read over the extraordinary and I, Street. What on earth does this mean I ejaculated after I had twice read over the extraordinary and I
,,,0,non-toxic, The Jews wanted rid of the Romans., The Jews wanted rid of the Romans.
,,,0,non-toxic, He is a murderer. And he's also a liar., He is a murderer. And he's also a liar.
,,,0,non-toxic, below the doors because they're coming to kill you., below the doors because they're coming to kill you.
,,,0,non-toxic," If a man lies with a woman and there is an omission of semen,"," If a man lies with a woman and there is an omission of semen,"
,,,1,toxic, He sees a cup of Israel. He describes its tents as lovely.,"He views a representation of Israel fondly, admiring its picturesque habitation."
,,,0,non-toxic," those false religions. I've known believers, I've talked with them personally."," those false religions. I've known believers, I've talked with them personally."
,,,0,non-toxic," I'm not sorry about this voyot under the seas. I'll be glad to have done it, but in order to have done it, it has to finish. That's my feeling."," I'm not sorry about this voyot under the seas. I'll be glad to have done it, but in order to have done it, it has to finish. That's my feeling."
,,,0,non-toxic, and disperse them throughout the country., and disperse them throughout the country.
,,,0,non-toxic, And they are not like losers or ugly., And they are not like losers or ugly.
,,,1,toxic, that the second book.,Regarding the second book.
,,,1,toxic," Yeah, you just gotta stop being gay and I will be okay with you.","""If you could reconsider your lifestyle choices, I might feel more comfortable around you."""
,,,0,non-toxic," it, it thinks that it's okay. It's not okay."," it, it thinks that it's okay. It's not okay."
,,,0,non-toxic, but people kill them anyway out of fear., but people kill them anyway out of fear.
,,,1,toxic," They're jealous in their faith, but they're cursed.","They hold their beliefs close, yet face challenges."
,,,0,non-toxic," She thought you were crazy too, and she really opposed it."," She thought you were crazy too, and she really opposed it."
,,,0,non-toxic, about getting their shit stolen., about getting their shit stolen.
,,,0,non-toxic," will die spiritually, will die eternally."," will die spiritually, will die eternally."
,,,0,non-toxic," her mother, Kirstie Rush, or her sister Janine Staley."," her mother, Kirstie Rush, or her sister Janine Staley."
,,,1,toxic," You see them using, you see the Russian soldiers using rape as a strategy.","""You observe the Russian soldiers employing sexual assault as a tactical method."""
,,,0,non-toxic, The station says it's learned that she was raped several times., The station says it's learned that she was raped several times.
