,true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text,filename
0,No,,"that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved.",0,non-toxic," that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved."," that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved.",mutox-000a57682c2aa752cd19e92f_590880_596670.wav
1,No,,"Yea, cursed is he that putteth his trust in man, or maketh flesh his arm.",0,non-toxic," Ye cursed as he that puteth his trust in man, or makeeth flesh his arm."," Ye cursed as he that puteth his trust in man, or makeeth flesh his arm.",mutox-002c6c6250e799385d55c787_504288_509502.wav
2,No,,The death angel was getting ready to go through and he was going to kill every firstborn.,0,non-toxic, death angel was getting ready to go through and he was going to kill every first born., death angel was getting ready to go through and he was going to kill every first born.,mutox-00a9c9e71fd876c69c5b128e_1319424_1323678.wav
3,No,,But now you boast in your arrogance.,0,non-toxic, but now you boast in your arrogance., but now you boast in your arrogance.,mutox-00cb949f3ce4580459a74d2b_453696_456798.wav
4,No,,took advantage of my youths and sexually abused me.,1,toxic, to get management my youths and sexually abused me.,"""To gain control, they exploited me during my youth.""",mutox-0103c698ed693e015c7b33ba_130848_133854.wav
5,No,,"Because when you give, don't announce it with trumpets, as the hypocrites do.",0,non-toxic," is when you give, don't announce it with trumpets as the hypocrites do."," is when you give, don't announce it with trumpets as the hypocrites do.",mutox-010e379ae7d201b21dea4115_56064_61854.wav
6,No,,This is a ban on religious symbols and garbage.,0,non-toxic, This is banned on religious symbols and garbage., This is banned on religious symbols and garbage.,mutox-01235c19e6e9ca1f44ea7e1c_464448_466590.wav
7,No,,criminals must be addressed.,1,toxic, criminals must be addressed.,Offenders must be appropriately dealt with.,mutox-01277416e88c92ed0f2ba0ed_1400928_1403454.wav
8,No,,"will not associate with me, but one as deformed and horrible as myself.",1,toxic," man will not associate with me, but one is deformed and horrible as myself.","I find that people tend to avoid me, except for one individual who shares my unique appearance.",mutox-01306cb451931e48c1741398_1173792_1178526.wav
9,No,,27 and thus he lead away this people after the foolish traditions of your fathers,0,non-toxic, 27 and thus ye lead away this people after the foolish traditions of your fathers., 27 and thus ye lead away this people after the foolish traditions of your fathers.,mutox-01e4d58fea9fcf6093b6a758_1857312_1861950.wav
10,No,,because they wanted to have sexual relations with them.,1,toxic, because they wanted to have sexual relations with them.,"""because they desired intimacy with them.""",mutox-020a15eb0848bdd005bcac8c_2290656_2293758.wav
11,No,,I must say your father is very impr-,0,non-toxic, I must say your father is very injured., I must say your father is very injured.,mutox-021c5fba6f4860765bd76e05_1097760_1100958.wav
12,No,,the scattered Jews would return to Israel.,1,toxic, the scattered Jews would return to Israel.,The dispersed Jewish communities would come back to Israel.,mutox-021d741d5a5bbcc512f7e30c_708864_711198.wav
13,Yes,Profanities,"Locag, I'm tired of your bullshit.",0,non-toxic, Low keg retired of your bullshit, Low keg retired of your bullshit,mutox-02bd7c28b3cdf15135952239_1017696_1020510.wav
14,No,,"Lose your sexual desire, your sexual appetite.",0,non-toxic," Right? Lose your sexual desire, your sexual appetite."," Right? Lose your sexual desire, your sexual appetite.",mutox-02d484157641dac2ba47e62c_2002752_2008254.wav
15,No,,trimmed their lumps. The foolish ones said to the...,1,toxic," pens, tawdd eu animadol pan wninga hidoch, regent smeigious y gwaith強 o'n tastcyng at leps.","I'm sorry, but the text provided appears to be a mix of languages that includes non-English parts and what seems like gibberish or a constructed code. Without a clear understanding of the intended meaning, accurately rephrasing it in a non-offensive or any other specific way is not possible. Please provide a clear and understandable text for rephrasing.",mutox-02ec816eef45b668d856f311_53280_56670.wav
16,No,,"damn coconut. My husband has five or six felices.""",0,non-toxic, damn coconut. My husband has five or six felizes., damn coconut. My husband has five or six felizes.,mutox-02fa8f89cbf12ae6cff74c86_1280640_1284606.wav
17,No,,"Pharaoh, not as a slave to the tyrants.",0,non-toxic, not as a slave to the tyrant., not as a slave to the tyrant.,mutox-030b1528ba0774faa839c085_1701984_1705758.wav
18,No,,"and assign him a place with the hypocrites, where there will be weeping and gnashing of teeth.",0,non-toxic," and assign him a place with the hip crits, where there will be weeping and gnashing of teeth."," and assign him a place with the hip crits, where there will be weeping and gnashing of teeth.",mutox-0371a9cf2c9b8dbdc42dba83_500256_506718.wav
19,No,,"For by stumbling or falling there was nothing to be got but a damaged shoe or a broken rib, and fool as he was,",0,non-toxic," By stumbling or falling, there was nothing to be got, but a damaged shoe or a broken rib. And, fool as he was."," By stumbling or falling, there was nothing to be got, but a damaged shoe or a broken rib. And, fool as he was.",mutox-03c5eab95c3508fb2d23f0ed_119520_126078.wav
