true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text,filename
,,,0,non-toxic," es que es dijo a su ciervo, o sea aquí veis al hombre portándose con un loco"," es que es dijo a su ciervo, o sea aquí veis al hombre portándose con un loco",mutox-006a22fab67be21ee9f1e366_1688160_1692222.wav
,,,0,non-toxic, que pagan mas ser., que pagan mas ser.,mutox-007ca17b349e67f94aedf7e4_1870752_1873950.wav
,,,0,non-toxic," que me echaría en tierra, debía cumplir mi compromiso y dejar que el monstruo se fuera"," que me echaría en tierra, debía cumplir mi compromiso y dejar que el monstruo se fuera",mutox-008fcd613600c27dca9a60cc_449664_457278.wav
,,,0,non-toxic, A mí no me gusta que Dios está haciendo que yo no puedo tener el sexo libre con quien yo quiero., A mí no me gusta que Dios está haciendo que yo no puedo tener el sexo libre con quien yo quiero.,mutox-00907b20e1cad472d34ce513_1473504_1478718.wav
,,,0,non-toxic, El legalismo lo lleva a ser arrogantes., El legalismo lo lleva a ser arrogantes.,mutox-00cca30e8559e14d32312bd6_2831232_2833950.wav
,,,0,non-toxic, decidas completamente ridículas. Ahí..., decidas completamente ridículas. Ahí...,mutox-012207daf8d2d5ae6a17a0a9_1580640_1583070.wav
,,,0,non-toxic," parte del que os hemos predicado, se amaldición."," parte del que os hemos predicado, se amaldición.",mutox-017b5f2565af63bc38e59526_2328288_2331102.wav
,,,0,non-toxic, pero ¿qué pasa? Ellos no lo hacen., pero ¿qué pasa? Ellos no lo hacen.,mutox-01bbdb91d507b4a945b77263_2105472_2107998.wav
,,,0,non-toxic," que hombre, ese maldito, ese genio del mal que siempre se me ha aparecido cuando alguna desgracia me amenazaba."," que hombre, ese maldito, ese genio del mal que siempre se me ha aparecido cuando alguna desgracia me amenazaba.",mutox-01c4a6ec8e964d8315a11fa9_635712_642558.wav
,,,0,non-toxic, supongo que usted se dijo si otros perdedores lo han conseguido, supongo que usted se dijo si otros perdedores lo han conseguido,mutox-01d15703b9363ac7a176a561_406848_411486.wav
,,,0,non-toxic, ¿Cuál es tu libro preferido de ciencia ficción reciente?, ¿Cuál es tu libro preferido de ciencia ficción reciente?,mutox-01e5dd49682fe6ad4f3b646d_2598624_2601534.wav
,,,0,non-toxic, sus chocs y sus armas por todo el mundo y que eso no se iba a firmar, sus chocs y sus armas por todo el mundo y que eso no se iba a firmar,mutox-01fcd1522f37a0d7b021bde6_2753952_2761086.wav
,,,0,non-toxic, biolo a una de sus hijas., biolo a una de sus hijas.,mutox-020788b16317ceaba6d5fa8b_2507232_2509662.wav
,,,0,non-toxic, hacer dos describirá estas maldiciones en un libro., hacer dos describirá estas maldiciones en un libro.,mutox-02214469e39a9d584b3f4c66_301920_304542.wav
,,,0,non-toxic, mayoritario en este país y será una vergüenza., mayoritario en este país y será una vergüenza.,mutox-02d764e7686dab2c91d7d59d_966720_970110.wav
,,,0,non-toxic," o sea, en producción de de los salavaginas."," o sea, en producción de de los salavaginas.",mutox-02f7faa72b46394b491b6095_776928_779550.wav
,,,0,non-toxic, para que los borres y los que me es todos a la vez., para que los borres y los que me es todos a la vez.,mutox-038906904fa0417f0b27794c_3479520_3482430.wav
,,,0,non-toxic, como ab es condenado y su pueblo sufrirá., como ab es condenado y su pueblo sufrirá.,mutox-03c49abbf8fa2140d5c85fa0_3663648_3666462.wav
,,,0,non-toxic," Si hay que morir, entonces morir peleando por la libertad."," Si hay que morir, entonces morir peleando por la libertad.",mutox-044d703b5598573b069de333_151200_156030.wav
,,,0,non-toxic, factor negativo para las relaciones sexuales sería el apuro., factor negativo para las relaciones sexuales sería el apuro.,mutox-047817457749c17baf90cb7f_2062848_2065854.wav
,,,1,toxic," decir, escuadrones de la muerte, destrozando personas con motocierra.",Referirse a grupos perpetrando actos violentos intensos.,mutox-047ae97626516b97d84b6f06_338592_343710.wav
,,,0,non-toxic, pero de ningún modo una deidad. Su nombre es una derivación del griego simia. ¿Qué terribles tontos son los antiguarios?, pero de ningún modo una deidad. Su nombre es una derivación del griego simia. ¿Qué terribles tontos son los antiguarios?,mutox-04e44ffcada595f7224b4555_620448_627966.wav
,,,0,non-toxic, La mayoría de estos gobernantes son unos verdaderos hipócritas., La mayoría de estos gobernantes son unos verdaderos hipócritas.,mutox-0518d8fc6c0d1a0ea4fa0889_90624_95838.wav
,,,3,toxic, mantenido relaciones sexuales con minores.,Involved in improper relations with minors.,mutox-054d34b4bc18fd79a749866c_25056_27102.wav
,,,0,non-toxic, y mató a uno de los egipcios y se fue viajada., y mató a uno de los egipcios y se fue viajada.,mutox-057f894852adc8607dacd69a_789120_792030.wav
,,,0,non-toxic," y él mata a 30 filisteos, toma los vestidos y para su deguda."," y él mata a 30 filisteos, toma los vestidos y para su deguda.",mutox-0609855b91692c5a7478fa1a_1522752_1526718.wav
,,,0,non-toxic," y esto es tu pide, es por parte de yo."," y esto es tu pide, es por parte de yo.",mutox-06b20763c72b80dfcf7b1408_219648_221790.wav
,,,2,toxic, que el mismo gobierno es el anticristo criminal y son piores que la mafia.,"The government is involved in activities that raise significant ethical questions, some of which are even more concerning than those typically associated with organized crime groups.",mutox-06bf548ffbaac6cbe32ebee4_1104960_1110462.wav
,,,1,toxic," cuando nos volvemos indiferentes, fríos.","Cuando nos mostramos desapegados, distantes.",mutox-072aac302f10f3dc83a43fc8_2420640_2424798.wav
,,,0,non-toxic, cuando el señor creó los cielos y la tierra y toda su plenitud., cuando el señor creó los cielos y la tierra y toda su plenitud.,mutox-074ac7a63cb2430db00f3b72_1932480_1936350.wav
,,,0,non-toxic, lo asesinaron esta mañana, lo asesinaron esta mañana,mutox-076a7d1dbad944295bcd503c_196608_198750.wav
,,,0,non-toxic, en cura y eso es su eterno., en cura y eso es su eterno.,mutox-07a8776a4dec5a6bb9ab52d6_2107296_2110014.wav
,,,0,non-toxic, tuitea una foto retoitea una foto de una pareja de gays besándose, tuitea una foto retoitea una foto de una pareja de gays besándose,mutox-07adaf5c61e7c240bc18027c_973536_981150.wav
,,,0,non-toxic, de las asechanzas y de las arpinmayas del maldito., de las asechanzas y de las arpinmayas del maldito.,mutox-0832367a5410c65f50cee4c6_3568608_3572190.wav
,,,1,toxic, contra alguien usted es un asesismo.,"Versus someone, you display superior skill.",mutox-08560e48e6e615999936d23c_2117760_2120670.wav
,,,0,non-toxic, quiere decir de matar o destruir., quiere decir de matar o destruir.,mutox-08df4ea2437980441bd4a247_1953984_1956606.wav
